# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0362 3780 1000)",2.7,1,365,34.1564,-118.4916,0,"UTM:(11S 0362 3780 1000)",""
"UTM:(11S 0362 3783 1000)",2.2,1,367,34.1834,-118.4921,0,"UTM:(11S 0362 3783 1000)",""
"UTM:(11S 0362 3807 1000)",3.1,1,381,34.3998,-118.4959,0,"UTM:(11S 0362 3807 1000)",""
"UTM:(11S 0363 3762 1000)",2.4,6,354,33.9943,-118.4779,0,"UTM:(11S 0363 3762 1000)",""
"UTM:(11S 0363 3763 1000)",3.2,3,355,34.0033,-118.4781,0,"UTM:(11S 0363 3763 1000)",""
"UTM:(11S 0363 3764 1000)",3.0,2,355,34.0123,-118.4783,0,"UTM:(11S 0363 3764 1000)",""
"UTM:(11S 0363 3766 1000)",4.5,2,356,34.0303,-118.4786,0,"UTM:(11S 0363 3766 1000)",""
"UTM:(11S 0363 3767 1000)",2.2,1,357,34.0393,-118.4787,0,"UTM:(11S 0363 3767 1000)",""
"UTM:(11S 0363 3777 1000)",3.8,1,363,34.1294,-118.4803,0,"UTM:(11S 0363 3777 1000)",""
"UTM:(11S 0363 3789 1000)",3.6,6,370,34.2377,-118.4821,0,"UTM:(11S 0363 3789 1000)",""
"UTM:(11S 0363 3790 1000)",2.2,1,370,34.2467,-118.4823,0,"UTM:(11S 0363 3790 1000)",""
"UTM:(11S 0363 3812 1000)",1.0,1,384,34.4450,-118.4858,0,"UTM:(11S 0363 3812 1000)",""
"UTM:(11S 0364 3760 1000)",2.2,1,352,33.9763,-118.4668,0,"UTM:(11S 0364 3760 1000)",""
